Distributor Name,Location,Vertical,Annual Sales Range,ARR Band,# of Products,Starting MRR,Ending MRR,MRR Growth,% MRR Growth,Starting ARR,Ending ARR,Segment
Robinson Enterprises,"Jorgeburgh, MB, Canada",C-Store,$25mm - $50mm,$50 - $75k,3,"$5,869","$6,347",$478,0.0814,"$70,428",76164,Standard Accounts
Johnson Logistics,"Knappville, SD, US",C-Store,$100mm - $250mm,$100k - $250k,1,"$13,899","$15,037","$1,138",0.0819,"$166,788",180444,Key Accounts
Hoover Distribution,"Rivasville, ID, US",Produce,$100mm - $250mm,$100k - $250k,1,"$9,130","$9,885",$755,0.0827,"$109,560",118620,Key Accounts
Shepherd Logistics,"Lake Gina, CA, US",C-Store,$10mm - $25mm,$10k - $25k,1,"$1,220","$1,321",$101,0.0828,"$14,640",15852,Standard Accounts
Baker Distribution,"New Stacyville, NJ, US",Jan-San,< $10mm,$10k - $25k,1,"$1,807","$1,957",$150,0.083,"$21,684",23484,Standard Accounts
Rodriguez Logistics,"Lewisside, SK, Canada",C-Store,$10mm - $25mm,$25k - $50k,3,"$3,410","$3,695",$285,0.0836,"$40,920",44340,Standard Accounts
Massey Supply Co.,"Charlesmouth, OR, US",Meat,< $10mm,$25k - $50k,1,"$3,893","$4,222",$329,0.08449999999999999,"$46,716",50664,Standard Accounts
Lynch Foods,"South Kurt, NC, US",Bakery,$10mm - $25mm,$50 - $75k,1,"$6,221","$6,748",$527,0.08470000000000001,"$74,652",80976,Standard Accounts
Cochran Logistics,"New Stevenport, MB, Canada",Jan-San,$100mm - $250mm,$100k - $250k,2,"$9,263","$10,056",$793,0.08560000000000001,"$111,156",120672,Key Accounts
Oliver Distribution,"Jeffreyshire, AR, US",Produce,$100mm - $250mm,$75k - $100k,2,"$7,814","$8,483",$669,0.08560000000000001,"$93,768",101796,Key Accounts
Gray Foods,"Keithview, NY, US",Coffee,< $10mm,$25k - $50k,3,"$3,823","$4,153",$330,0.0863,"$45,876",49836,Standard Accounts
Wright Supply Co.,"West Angelastad, SK, Canada",Ice Cream,$10mm - $25mm,$25k - $50k,4,"$3,681","$4,000",$319,0.0867,"$44,172",48000,Standard Accounts
Baker Enterprises,"Michellemouth, NE, US",Produce,$10mm - $25mm,$25k - $50k,1,"$2,715","$2,951",$236,0.08689999999999999,"$32,580",35412,Standard Accounts
Brown Enterprises,"Port Crystalmouth, UT, US",C-Store,$10mm - $25mm,$25k - $50k,1,"$4,163","$4,528",$365,0.0877,"$49,956",54336,Standard Accounts
Mcdaniel Enterprises,"North Matthewfurt, MO, US",Seafood,$10mm - $25mm,$10k - $25k,2,"$1,607","$1,748",$141,0.0877,"$19,284",20976,Standard Accounts
Walker Enterprises,"New Garrett, SC, US",Meat,$10mm - $25mm,$50 - $75k,1,"$4,967","$5,403",$436,0.08779999999999999,"$59,604",64836,Standard Accounts
Wilson Supply Co.,"West Nicholas, FL, US",Broadline,$50mm - $100mm,$25k - $50k,2,"$3,450","$3,755",$305,0.08839999999999999,"$41,400",45060,Standard Accounts
Robinson Foods,"Carpenterton, MI, US",Produce,$25mm - $50mm,$25k - $50k,2,"$4,162","$4,532",$370,0.0889,"$49,944",54384,Standard Accounts
Blankenship Foods,"Fordstad, MB, Canada",Broadline,$25mm - $50mm,$25k - $50k,2,"$3,207","$3,493",$286,0.0892,"$38,484",41916,Standard Accounts
King Logistics,"East Dustin, CO, US",Produce,$50mm - $100mm,$100k - $250k,1,"$10,627","$11,577",$950,0.0894,"$127,524",138924,Key Accounts
Taylor Logistics,"North Marieberg, MA, US",Produce,< $10mm,$10k - $25k,2,$962,"$1,048",$86,0.0894,"$11,544",12576,Standard Accounts
Hahn Foods,"New Cynthiahaven, WY, US",Broadline,$10mm - $25mm,$25k - $50k,2,"$2,097","$2,286",$189,0.0901,"$25,164",27432,Standard Accounts
Wilson Distribution,"New Erin, AZ, US",Broadline,$25mm - $50mm,$50 - $75k,1,"$4,823","$5,258",$435,0.0902,"$57,876",63096,Standard Accounts
Thomas Foods,"North Sarah, MT, US",Broadline,$10mm - $25mm,$50 - $75k,2,"$4,948","$5,395",$447,0.09029999999999999,"$59,376",64740,Standard Accounts
Arnold Supply Co.,"Port Cynthiashire, VA, US",Meat,< $10mm,$25k - $50k,1,"$2,290","$2,499",$209,0.0913,"$27,480",29988,Standard Accounts
Perry Supply Co.,"Ericberg, NV, US",C-Store,$10mm - $25mm,$75k - $100k,2,"$6,513","$7,111",$598,0.09179999999999999,"$78,156",85332,Standard Accounts
Cohen Supply Co.,"Barbarashire, UT, US",Produce,$25mm - $50mm,$25k - $50k,2,"$3,625","$3,960",$335,0.0924,"$43,500",47520,Standard Accounts
Hill Foods,"Lake Suzanne, AR, US",Jan-San,< $10mm,$25k - $50k,1,"$2,790","$3,049",$259,0.0928,"$33,480",36588,Standard Accounts
Jones Foods,"Smithborough, CA, US",Jan-San,$100mm - $250mm,$50 - $75k,1,"$4,671","$5,106",$435,0.0931,"$56,052",61272,Standard Accounts
Torres Enterprises,"Villegasland, TN, US",C-Store,$50mm - $100mm,$50 - $75k,1,"$4,688","$5,125",$437,0.0932,"$56,256",61500,Standard Accounts
Anderson Logistics,"Williamsstad, WA, US",Jan-San,$10mm - $25mm,$50 - $75k,1,"$5,465","$5,979",$514,0.0941,"$65,580",71748,Standard Accounts
Coffey Enterprises,"Susanberg, OH, US",Broadline,$25mm - $50mm,$25k - $50k,4,"$3,769","$4,129",$360,0.0955,"$45,228",49548,Standard Accounts
Lin Foods,"Port Sabrina, IA, US",Jan-San,$25mm - $50mm,$25k - $50k,2,"$2,234","$2,449",$215,0.0962,"$26,808",29388,Standard Accounts
Williams Enterprises,"Armstrongbury, AB, Canada",C-Store,< $10mm,$25k - $50k,1,"$2,160","$2,369",$209,0.0968,"$25,920",28428,Standard Accounts
Gray Distribution,"New Donald, ON, Canada",C-Store,$100mm - $250mm,$10k - $25k,1,"$1,419","$1,557",$138,0.0973,"$17,028",18684,Standard Accounts
Lee Distribution,"North Sherrymouth, SD, US",Broadline,< $10mm,$10k - $25k,2,"$2,031","$2,231",$200,0.09849999999999999,"$24,372",26772,Standard Accounts
Ferrell Enterprises,"Johnathanberg, NS, Canada",Seafood,$10mm - $25mm,$25k - $50k,4,"$2,267","$2,491",$224,0.09880000000000001,"$27,204",29892,Standard Accounts
Miller Distribution,"Wilsonbury, CA, US",Produce,$100mm - $250mm,$100k - $250k,3,"$12,902","$14,178","$1,276",0.0989,"$154,824",170136,Key Accounts
Garcia Foods,"Lake Alyssafurt, PA, US",Produce,$10mm - $25mm,$75k - $100k,1,"$6,350","$6,982",$632,0.09949999999999999,"$76,200",83784,Standard Accounts
Garcia Supply Co.,"North Sandra, VT, US",Produce,$50mm - $100mm,$100k - $250k,2,"$10,668","$11,737","$1,069",0.1002,"$128,016",140844,Strategic Accounts
Webb Enterprises,"North Jeantown, WA, US",Specialty,$50mm - $100mm,$100k - $250k,2,"$11,096","$12,208","$1,112",0.1002,"$133,152",146496,Strategic Accounts
Ryan Enterprises,"Lake Meghanville, MT, US",Ice Cream,$500mm - $1bn,$25k - $50k,1,"$2,501","$2,753",$252,0.1008,"$30,012",33036,Growth Accounts
Mills Logistics,"Port Daniel, NB, Canada",Broadline,< $10mm,$25k - $50k,1,"$3,523","$3,881",$358,0.1016,"$42,276",46572,Growth Accounts
Sanchez Enterprises,"Ericville, NM, US",Broadline,< $10mm,$25k - $50k,1,"$2,566","$2,828",$262,0.10210000000000001,"$30,792",33936,Growth Accounts
Perez Logistics,"South Carlaton, NL, Canada",Meat,$25mm - $50mm,$50 - $75k,2,"$4,448","$4,910",$462,0.1039,"$53,376",58920,Growth Accounts
Valencia Distribution,"New Jeanne, QC, Canada",Broadline,$10mm - $25mm,$75k - $100k,1,"$6,996","$7,729",$733,0.1048,"$83,952",92748,Growth Accounts
Wang Logistics,"Elizabethburgh, MI, US",Specialty,< $10mm,$10k - $25k,1,"$1,156","$1,278",$122,0.10550000000000001,"$13,872",15336,Growth Accounts
Scott Foods,"North Stephen, NB, Canada",Jan-San,< $10mm,$10k - $25k,1,"$1,032","$1,141",$109,0.1056,"$12,384",13692,Growth Accounts
Williams Enterprises,"Wallaceshire, MO, US",Produce,$1bn+,$250k+,1,"$23,863","$26,412","$2,549",0.10679999999999999,"$286,356",316944,Strategic Accounts
Brown Enterprises,"East Brittany, VT, US",Jan-San,$10mm - $25mm,$10k - $25k,2,"$1,524","$1,688",$164,0.1076,"$18,288",20256,Growth Accounts
Wise Foods,"Ashleyville, MI, US",Broadline,< $10mm,$25k - $50k,3,"$3,056","$3,385",$329,0.10769999999999999,"$36,672",40620,Growth Accounts
Morrison Distribution,"Hendersonfort, WY, US",Ice Cream,$25mm - $50mm,$25k - $50k,1,"$4,123","$4,568",$445,0.1079,"$49,476",54816,Growth Accounts
Romero Distribution,"Robertberg, SD, US",Jan-San,$50mm - $100mm,$25k - $50k,1,"$3,644","$4,038",$394,0.1081,"$43,728",48456,Growth Accounts
Sawyer Distribution,"Jimmytown, MO, US",Broadline,$500mm - $1bn,$100k - $250k,1,"$19,218","$21,303","$2,085",0.1085,"$230,616",255636,Strategic Accounts
Travis Supply Co.,"Port Thomas, BC, Canada",Broadline,$500mm - $1bn,$100k - $250k,1,"$18,692","$20,759","$2,067",0.1106,"$224,304",249108,Strategic Accounts
Lewis Foods,"Margaretshire, BC, Canada",Broadline,< $10mm,$25k - $50k,2,"$3,860","$4,290",$430,0.1114,"$46,320",51480,Growth Accounts
Vance Enterprises,"Nicholasfurt, NY, US",C-Store,$100mm - $250mm,$100k - $250k,4,"$17,222","$19,143","$1,921",0.1115,"$206,664",229716,Strategic Accounts
Lawson Foods,"Riosville, IL, US",Broadline,$50mm - $100mm,$50 - $75k,1,"$5,635","$6,266",$631,0.11199999999999999,"$67,620",75192,Growth Accounts
Nelson Foods,"East Danielmouth, ON, Canada",C-Store,$50mm - $100mm,$10k - $25k,1,"$1,872","$2,082",$210,0.11220000000000001,"$22,464",24984,Growth Accounts
Le Logistics,"Lake Jacqueline, CA, US",Jan-San,$500mm - $1bn,$250k+,2,"$30,304","$33,707","$3,403",0.11230000000000001,"$363,648",404484,Strategic Accounts
Robinson Enterprises,"Erikview, DE, US",Seafood,$10mm - $25mm,$10k - $25k,1,"$1,766","$1,965",$199,0.1127,"$21,192",23580,Growth Accounts
Russell Supply Co.,"North Melindaville, FL, US",Broadline,$25mm - $50mm,$100k - $250k,1,"$8,894","$9,898","$1,004",0.11289999999999999,"$106,728",118776,Strategic Accounts
Arroyo Foods,"Westtown, RI, US",Produce,$10mm - $25mm,$10k - $25k,2,"$1,538","$1,712",$174,0.1131,"$18,456",20544,Growth Accounts
Berger Supply Co.,"South Amy, WY, US",C-Store,$10mm - $25mm,$50 - $75k,1,"$4,421","$4,928",$507,0.11470000000000001,"$53,052",59136,Growth Accounts
Martinez Distribution,"Andradefort, WI, US",Produce,$50mm - $100mm,$50 - $75k,1,"$6,041","$6,743",$702,0.1162,"$72,492",80916,Growth Accounts
Moore Foods,"Port Erik, NC, US",Ice Cream,$1bn+,$100k - $250k,1,"$11,930","$13,318","$1,388",0.11630000000000001,"$143,160",159816,Strategic Accounts
Powers Foods,"Franciscoport, SD, US",Specialty,$250mm - $500mm,$25k - $50k,3,"$2,380","$2,657",$277,0.1164,"$28,560",31884,Growth Accounts
Wood Enterprises,"Lake Devinborough, SC, US",Broadline,$10mm - $25mm,$50 - $75k,1,"$4,685","$5,231",$546,0.1165,"$56,220",62772,Growth Accounts
Hall Distribution,"West Christineborough, KS, US",Produce,$25mm - $50mm,$25k - $50k,2,"$2,136","$2,385",$249,0.1166,"$25,632",28620,Growth Accounts
Harrell Foods,"Erikashire, LA, US",Coffee,$25mm - $50mm,$75k - $100k,3,"$6,319","$7,065",$746,0.11810000000000001,"$75,828",84780,Growth Accounts
Herrera Distribution,"South Rebecca, MO, US",Broadline,$25mm - $50mm,$75k - $100k,1,"$7,166","$8,017",$851,0.1188,"$85,992",96204,Growth Accounts
Johnson Logistics,"West Michaelport, NC, US",Jan-San,$10mm - $25mm,$50 - $75k,1,"$6,122","$6,858",$736,0.1202,"$73,464",82296,Growth Accounts
Benson Supply Co.,"New Dawn, MA, US",Seafood,< $10mm,$25k - $50k,1,"$3,174","$3,556",$382,0.1204,"$38,088",42672,Growth Accounts
Adams Logistics,"Jessicaville, KS, US",Meat,$10mm - $25mm,$10k - $25k,2,"$1,636","$1,833",$197,0.1204,"$19,632",21996,Growth Accounts
Nolan Distribution,"South Eric, IN, US",Meat,< $10mm,$25k - $50k,2,"$3,498","$3,922",$424,0.12119999999999999,"$41,976",47064,Growth Accounts
Chapman Foods,"Kingborough, LA, US",C-Store,$100mm - $250mm,$100k - $250k,1,"$14,600","$16,370","$1,770",0.12119999999999999,"$175,200",196440,Strategic Accounts
Armstrong Enterprises,"North Michael, NY, US",Coffee,< $10mm,$25k - $50k,1,"$2,726","$3,059",$333,0.1222,"$32,712",36708,Growth Accounts
Henson Distribution,"New Danielside, OH, US",C-Store,$50mm - $100mm,$50 - $75k,2,"$5,490","$6,167",$677,0.1233,"$65,880",74004,Growth Accounts
Doyle Distribution,"Port Anne, MN, US",Broadline,$100mm - $250mm,$100k - $250k,2,"$14,891","$16,728","$1,837",0.1234,"$178,692",200736,Strategic Accounts
Mitchell Logistics,"Port Jenny, MN, US",Jan-San,$1bn+,$100k - $250k,1,"$12,159","$13,661","$1,502",0.1235,"$145,908",163932,Strategic Accounts
Pierce Distribution,"Guerreroberg, MO, US",Produce,$500mm - $1bn,$250k+,2,"$33,615","$37,793","$4,178",0.1243,"$403,380",453516,Strategic Accounts
Adkins Enterprises,"East Thomasberg, MT, US",Meat,$10mm - $25mm,$10k - $25k,2,"$1,334","$1,501",$167,0.1252,"$16,008",18012,Growth Accounts
Brown Foods,"Hillstad, OH, US",Specialty,$100mm - $250mm,$75k - $100k,2,"$7,689","$8,656",$967,0.1258,"$92,268",103872,Strategic Accounts
Perry Supply Co.,"New Ethan, QC, Canada",Broadline,$100mm - $250mm,$75k - $100k,2,"$6,637","$7,472",$835,0.1258,"$79,644",89664,Growth Accounts
Bradshaw Enterprises,"Lake Charles, UT, US",Broadline,< $10mm,$25k - $50k,1,"$3,473","$3,911",$438,0.1261,"$41,676",46932,Growth Accounts
Suarez Supply Co.,"East Matthew, SC, US",Seafood,$25mm - $50mm,$100k - $250k,2,"$8,524","$9,600","$1,076",0.12619999999999998,"$102,288",115200,Strategic Accounts
Ellis Enterprises,"Maldonadoshire, ME, US",Broadline,$50mm - $100mm,$100k - $250k,1,"$9,015","$10,164","$1,149",0.1275,"$108,180",121968,Strategic Accounts
Ryan Supply Co.,"Gordonport, KS, US",Specialty,$50mm - $100mm,$100k - $250k,1,"$10,891","$12,282","$1,391",0.1277,"$130,692",147384,Strategic Accounts
Martinez Supply Co.,"South Bradley, CA, US",Jan-San,$50mm - $100mm,$25k - $50k,4,"$3,860","$4,353",$493,0.1277,"$46,320",52236,Growth Accounts
Stewart Logistics,"Ericksonport, WY, US",Produce,$100mm - $250mm,$75k - $100k,2,"$7,080","$7,985",$905,0.1278,"$84,960",95820,Growth Accounts
Henderson Enterprises,"New Michael, OK, US",Specialty,$50mm - $100mm,$100k - $250k,3,"$8,734","$9,851","$1,117",0.12789999999999999,"$104,808",118212,Strategic Accounts
Everett Distribution,"Brianfort, VT, US",Jan-San,$10mm - $25mm,$50 - $75k,3,"$5,182","$5,845",$663,0.12789999999999999,"$62,184",70140,Growth Accounts
Lambert Logistics,"Robinstad, ID, US",Jan-San,$25mm - $50mm,$25k - $50k,2,"$2,692","$3,037",$345,0.1282,"$32,304",36444,Growth Accounts
Santos Enterprises,"Brandiland, ME, US",Specialty,$10mm - $25mm,$10k - $25k,1,"$1,365","$1,540",$175,0.1282,"$16,380",18480,Growth Accounts
Evans Logistics,"Lake Nathan, KS, US",Broadline,$50mm - $100mm,$100k - $250k,3,"$9,884","$11,152","$1,268",0.1283,"$118,608",133824,Strategic Accounts
Blair Distribution,"Lake Diane, SC, US",Seafood,$50mm - $100mm,$100k - $250k,2,"$11,401","$12,881","$1,480",0.1298,"$136,812",154572,Strategic Accounts
Beard Enterprises,"South Caseymouth, IL, US",Meat,$25mm - $50mm,$10k - $25k,2,$938,"$1,060",$122,0.1301,"$11,256",12720,Growth Accounts
Dean Distribution,"Dunnville, VA, US",C-Store,$25mm - $50mm,$10k - $25k,1,"$1,427","$1,613",$186,0.1303,"$17,124",19356,Growth Accounts
Coleman Logistics,"South Carrie, MT, US",Coffee,$10mm - $25mm,$25k - $50k,2,"$3,315","$3,749",$434,0.1309,"$39,780",44988,Growth Accounts
Hernandez Supply Co.,"Robintown, NM, US",Jan-San,$25mm - $50mm,$50 - $75k,3,"$5,864","$6,639",$775,0.1322,"$70,368",79668,Growth Accounts
Mann Logistics,"Port Timothyshire, WA, US",Broadline,$100mm - $250mm,$100k - $250k,1,"$10,171","$11,527","$1,356",0.1333,"$122,052",138324,Strategic Accounts
Villa Distribution,"South Kristen, ME, US",Seafood,< $10mm,$10k - $25k,1,"$1,072","$1,215",$143,0.1334,"$12,864",14580,Growth Accounts
Pope Logistics,"East Carlos, QC, Canada",Meat,$10mm - $25mm,$25k - $50k,3,"$3,476","$3,941",$465,0.1338,"$41,712",47292,Growth Accounts
Johnson Foods,"New Charles, UT, US",Specialty,$500mm - $1bn,$100k - $250k,2,"$20,222","$22,982","$2,760",0.1365,"$242,664",275784,Strategic Accounts
Vaughn Enterprises,"North Peggy, AK, US",Seafood,$500mm - $1bn,$250k+,3,"$33,788","$38,400","$4,612",0.1365,"$405,456",460800,Strategic Accounts
Payne Supply Co.,"Barnesberg, KY, US",Specialty,$10mm - $25mm,$50 - $75k,1,"$4,252","$4,833",$581,0.1366,"$51,024",57996,Growth Accounts
Kelley Distribution,"North Samantha, NJ, US",C-Store,$25mm - $50mm,$25k - $50k,1,"$2,381","$2,708",$327,0.1373,"$28,572",32496,Growth Accounts
Dudley Distribution,"Elizabethchester, NB, Canada",Specialty,< $10mm,$25k - $50k,1,"$2,130","$2,423",$293,0.1376,"$25,560",29076,Growth Accounts
Pitts Distribution,"West Michaelport, KS, US",Broadline,$50mm - $100mm,$50 - $75k,1,"$4,694","$5,344",$650,0.13849999999999998,"$56,328",64128,Growth Accounts
Roman Supply Co.,"North Marieland, OH, US",Jan-San,< $10mm,$10k - $25k,1,"$1,181","$1,346",$165,0.13970000000000002,"$14,172",16152,Growth Accounts
Douglas Supply Co.,"Garcialand, PE, Canada",Meat,< $10mm,$10k - $25k,2,"$1,694","$1,931",$237,0.1399,"$20,328",23172,Growth Accounts
Daniels Enterprises,"Lake John, AR, US",Specialty,$50mm - $100mm,$50 - $75k,2,"$5,439","$6,202",$763,0.14029999999999998,"$65,268",74424,Growth Accounts
Harris Distribution,"Port Bonniemouth, TX, US",Broadline,$100mm - $250mm,$100k - $250k,2,"$10,154","$11,580","$1,426",0.1404,"$121,848",138960,Strategic Accounts
Rocha Distribution,"Webstershire, WA, US",C-Store,$10mm - $25mm,$50 - $75k,3,"$4,971","$5,670",$699,0.1406,"$59,652",68040,Growth Accounts
Morton Distribution,"South Cherylton, NS, Canada",Specialty,< $10mm,$25k - $50k,1,"$3,513","$4,007",$494,0.1406,"$42,156",48084,Growth Accounts
Ortiz Foods,"Lake Catherine, ID, US",Broadline,$500mm - $1bn,$250k+,3,"$26,030","$29,704","$3,674",0.1411,"$312,360",356448,Strategic Accounts
Ibarra Foods,"Hernandezborough, UT, US",Jan-San,$10mm - $25mm,$50 - $75k,1,"$6,115","$6,988",$873,0.14279999999999998,"$73,380",83856,Growth Accounts
Murphy Distribution,"New Michaelview, SK, Canada",Produce,$50mm - $100mm,$75k - $100k,1,"$7,676","$8,784","$1,108",0.14429999999999998,"$92,112",105408,Strategic Accounts
Martin Distribution,"Port Kathleenport, NE, US",Broadline,$25mm - $50mm,$75k - $100k,3,"$8,249","$9,440","$1,191",0.1444,"$98,988",113280,Strategic Accounts
Cannon Enterprises,"West Mark, MD, US",Seafood,$25mm - $50mm,$75k - $100k,1,"$7,836","$8,968","$1,132",0.1445,"$94,032",107616,Strategic Accounts
Hall Logistics,"East Joycetown, KS, US",Jan-San,$50mm - $100mm,$100k - $250k,2,"$10,165","$11,639","$1,474",0.145,"$121,980",139668,Strategic Accounts
Bright Enterprises,"South Dorothybury, WI, US",Broadline,$10mm - $25mm,$50 - $75k,1,"$4,474","$5,123",$649,0.1451,"$53,688",61476,Growth Accounts
Mcguire Enterprises,"South Travis, MB, Canada",Produce,$100mm - $250mm,$100k - $250k,1,"$15,383","$17,638","$2,255",0.1466,"$184,596",211656,Strategic Accounts
Lee Distribution,"Parkerview, AB, Canada",Produce,$25mm - $50mm,$75k - $100k,1,"$7,825","$8,984","$1,159",0.1481,"$93,900",107808,Strategic Accounts
Terry Supply Co.,"Lake Kenneth, MO, US",Broadline,$25mm - $50mm,$75k - $100k,1,"$7,740","$8,900","$1,160",0.1499,"$92,880",106800,Strategic Accounts
Mason Supply Co.,"Arellanoshire, AZ, US",Produce,$25mm - $50mm,$75k - $100k,2,"$7,542","$8,681","$1,139",0.151,"$90,504",104172,Strategic Accounts
Davis Supply Co.,"North Andrea, QC, Canada",Produce,$10mm - $25mm,$25k - $50k,3,"$3,427","$3,946",$519,0.1514,"$41,124",47352,Growth Accounts
Ramos Logistics,"Brianaland, BC, Canada",Broadline,< $10mm,$10k - $25k,1,"$1,054","$1,214",$160,0.1518,"$12,648",14568,Growth Accounts
Harrison Distribution,"Stephensfort, TX, US",C-Store,$100mm - $250mm,$100k - $250k,2,"$14,386","$16,571","$2,185",0.1519,"$172,632",198852,Strategic Accounts
Harrington Enterprises,"Reidstad, CT, US",Coffee,< $10mm,$25k - $50k,1,"$3,928","$4,532",$604,0.15380000000000002,"$47,136",54384,Growth Accounts
Beck Foods,"Angelashire, ND, US",Coffee,$25mm - $50mm,$10k - $25k,2,"$1,932","$2,231",$299,0.1548,"$23,184",26772,Growth Accounts
Patton Enterprises,"Port Rachaelbury, NM, US",C-Store,$100mm - $250mm,$100k - $250k,1,"$9,549","$11,029","$1,480",0.155,"$114,588",132348,Strategic Accounts
Henderson Supply Co.,"South Morganton, NH, US",Produce,$10mm - $25mm,$25k - $50k,1,"$3,566","$4,119",$553,0.1551,"$42,792",49428,Growth Accounts
Coleman Foods,"Sarafurt, AZ, US",Specialty,$50mm - $100mm,$75k - $100k,1,"$7,905","$9,132","$1,227",0.1552,"$94,860",109584,Strategic Accounts
Morris Foods,"Karenburgh, MO, US",C-Store,$100mm - $250mm,$100k - $250k,1,"$9,516","$10,996","$1,480",0.1555,"$114,192",131952,Strategic Accounts
Hart Supply Co.,"Staceyshire, TX, US",Produce,$25mm - $50mm,$100k - $250k,2,"$8,614","$9,956","$1,342",0.1558,"$103,368",119472,Strategic Accounts
Simon Supply Co.,"Garyberg, NM, US",Broadline,$25mm - $50mm,$25k - $50k,2,"$3,128","$3,616",$488,0.156,"$37,536",43392,Growth Accounts
Ray Supply Co.,"East Suzanne, SC, US",Produce,< $10mm,$25k - $50k,2,"$2,722","$3,147",$425,0.1561,"$32,664",37764,Growth Accounts
Bruce Enterprises,"Jenniferside, OH, US",Produce,$10mm - $25mm,$25k - $50k,1,"$3,686","$4,264",$578,0.1568,"$44,232",51168,Growth Accounts
Matthews Supply Co.,"Raymondmouth, OR, US",Broadline,$1bn+,$25k - $50k,1,"$2,814","$3,258",$444,0.1578,"$33,768",39096,Growth Accounts
Hayes Logistics,"Kristintown, BC, Canada",Seafood,$100mm - $250mm,$50 - $75k,2,"$5,938","$6,878",$940,0.1583,"$71,256",82536,Growth Accounts
Johnson Foods,"South Joshuaville, SK, Canada",Specialty,$25mm - $50mm,$50 - $75k,2,"$4,566","$5,289",$723,0.1583,"$54,792",63468,Growth Accounts
Bentley Logistics,"East Jessicafort, SK, Canada",Produce,$10mm - $25mm,$10k - $25k,2,"$1,064","$1,234",$170,0.1598,"$12,768",14808,Growth Accounts
Perez Foods,"Brianberg, OK, US",Broadline,$250mm - $500mm,$250k+,1,"$24,477","$28,396","$3,919",0.16010000000000002,"$293,724",340752,Strategic Accounts
Gardner Foods,"East Thomas, VA, US",Seafood,$250mm - $500mm,$100k - $250k,4,"$13,397","$15,559","$2,162",0.16140000000000002,"$160,764",186708,Strategic Accounts
Levy Logistics,"West Kathymouth, NV, US",Coffee,$10mm - $25mm,$10k - $25k,1,"$1,151","$1,337",$186,0.1616,"$13,812",16044,Growth Accounts
Moore Logistics,"North Linda, IL, US",Broadline,$250mm - $500mm,$25k - $50k,1,"$2,903","$3,373",$470,0.16190000000000002,"$34,836",40476,Growth Accounts
Cobb Foods,"East Victoriafurt, PE, Canada",Broadline,$10mm - $25mm,$25k - $50k,1,"$2,667","$3,099",$432,0.162,"$32,004",37188,Growth Accounts
Farrell Enterprises,"Sarahmouth, OH, US",Produce,$10mm - $25mm,$25k - $50k,1,"$3,785","$4,400",$615,0.1625,"$45,420",52800,Growth Accounts
Cruz Logistics,"Glendaberg, WA, US",Broadline,$50mm - $100mm,$100k - $250k,3,"$10,891","$12,663","$1,772",0.16269999999999998,"$130,692",151956,Strategic Accounts
Morgan Logistics,"Michaelmouth, WY, US",Broadline,$10mm - $25mm,$10k - $25k,2,"$1,393","$1,620",$227,0.163,"$16,716",19440,Growth Accounts
Smith Supply Co.,"Sarahchester, AB, Canada",C-Store,< $10mm,$10k - $25k,2,$893,"$1,039",$146,0.1635,"$10,716",12468,Growth Accounts
Nelson Enterprises,"Bartonshire, PE, Canada",C-Store,< $10mm,$25k - $50k,2,"$3,333","$3,879",$546,0.1638,"$39,996",46548,Growth Accounts
Vaughan Logistics,"Jodibury, KS, US",Broadline,$250mm - $500mm,$100k - $250k,2,"$9,290","$10,813","$1,523",0.16390000000000002,"$111,480",129756,Strategic Accounts
Collier Logistics,"Meganside, HI, US",C-Store,< $10mm,$10k - $25k,1,"$1,479","$1,722",$243,0.1643,"$17,748",20664,Growth Accounts
Phillips Foods,"North Ellen, KS, US",Broadline,< $10mm,$25k - $50k,1,"$2,567","$2,991",$424,0.16519999999999999,"$30,804",35892,Growth Accounts
Herring Distribution,"Marcusport, AZ, US",Produce,$10mm - $25mm,$10k - $25k,4,"$2,021","$2,355",$334,0.1653,"$24,252",28260,Growth Accounts
Williams Foods,"Toniland, ON, Canada",Meat,$10mm - $25mm,$25k - $50k,1,"$3,766","$4,389",$623,0.1654,"$45,192",52668,Growth Accounts
Smith Foods,"East Sandrachester, QC, Canada",Broadline,< $10mm,$25k - $50k,1,"$3,480","$4,057",$577,0.16579999999999998,"$41,760",48684,Growth Accounts
Dalton Logistics,"Marcusburgh, UT, US",Ice Cream,$100mm - $250mm,$75k - $100k,1,"$7,989","$9,327","$1,338",0.1675,"$95,868",111924,Strategic Accounts
Johnson Foods,"West Kimberlystad, MN, US",Seafood,$25mm - $50mm,$100k - $250k,3,"$8,819","$10,297","$1,478",0.16760000000000003,"$105,828",123564,Strategic Accounts
Russell Foods,"North Tinamouth, MS, US",Jan-San,< $10mm,$25k - $50k,1,"$3,550","$4,146",$596,0.1679,"$42,600",49752,Growth Accounts
Rogers Distribution,"West Franciscobury, ND, US",Broadline,$100mm - $250mm,$25k - $50k,1,"$2,953","$3,449",$496,0.168,"$35,436",41388,Growth Accounts
Daniels Supply Co.,"Ryanberg, TN, US",Broadline,< $10mm,$10k - $25k,1,"$1,320","$1,542",$222,0.16820000000000002,"$15,840",18504,Growth Accounts
Bryant Enterprises,"Lake Jenniferview, VT, US",Broadline,$50mm - $100mm,$25k - $50k,1,"$3,412","$3,986",$574,0.16820000000000002,"$40,944",47832,Growth Accounts
